I1,I2,I3,T1,T2,T3,Avarage,Rms,Kurtosis,Skewness,Category
0.15273,0.60364,0.44091,1.01049,1.07531,0.51049,4.54855,2.85352,-1.76846,5.12429,欠压 160V
0.09455,0.55,0.49273,0.85926,0.93827,0.52284,4.3499,2.65743,-1.65708,5.08976,欠压 160V
0.09,0.61091,0.49091,0.85802,1.05988,0.52407,4.35428,2.64711,-1.65395,5.06179,欠压 160V
0.08727,0.54091,0.49364,0.85741,0.88765,0.51852,4.34265,2.63162,-1.64042,5.0374,欠压 160V
0.10182,0.52818,0.49364,0.8537,0.8,0.52284,4.34115,2.6364,-1.634,5.02322,欠压 160V
0.09455,0.58273,0.48818,0.85247,1.03704,0.52161,4.34215,2.64155,-1.63294,5.01186,欠压 160V
0.08909,0.61,0.48455,0.86481,1.0642,0.5284,4.37436,2.66327,-1.67026,5.07476,欠压 160V
0.12273,0.54909,0.48909,0.84136,0.94383,0.52407,4.35175,2.67629,-1.52342,5.24806,欠压 160V
0.08455,0.56364,0.49,0.85247,0.99877,0.51605,4.33808,2.64102,-1.62939,5.00704,欠压 160V
0.08455,0.61909,0.48909,0.85494,1.0679,0.52161,4.34681,2.64901,-1.63918,5.02123,欠压 160V
0.09,0.58364,0.48909,0.8537,1.04198,0.51481,4.34104,2.64206,-1.62979,5.00442,欠压 160V
0.09364,0.60636,0.49091,0.85494,1.06111,0.52531,4.33904,2.64738,-1.63141,5.01121,欠压 160V
0.1,0.56545,0.49,0.85494,1.00556,0.52099,4.34099,2.6426,-1.63234,5.00766,欠压 160V
0.08818,0.61,0.48364,0.85741,1.0642,0.51975,4.3602,2.65587,-1.65043,5.03074,欠压 160V
0.08,0.61545,0.48545,0.85802,1.06975,0.51605,4.35648,2.64669,-1.65165,5.04261,欠压 160V
0.08909,0.54091,0.47455,0.85494,0.97778,0.51173,4.34157,2.66992,-1.60581,4.93392,欠压 160V
0.09364,0.61545,0.49182,0.85741,1.06173,0.51049,4.34104,2.64349,-1.63982,5.02791,欠压 160V
0.08818,0.56727,0.48455,0.86173,1.02037,0.52407,4.3634,2.66163,-1.65667,5.03306,欠压 160V
0.08818,0.53909,0.49273,0.85494,0.89877,0.51173,4.34199,2.63724,-1.64191,5.03222,欠压 160V
0.08273,0.57545,0.48909,0.85617,1.02593,0.50247,4.33714,2.64098,-1.63258,5.01531,欠压 160V
0.09727,0.63273,0.47727,0.85617,1.07346,0.52284,4.34872,2.66317,-1.62456,4.97189,欠压 160V
0.09909,0.53091,0.47545,0.85247,0.91667,0.50802,4.3378,2.66591,-1.60491,4.93163,欠压 160V
0.09455,0.58727,0.47818,0.85494,1.05185,0.51049,4.34164,2.66064,-1.61625,4.9539,欠压 160V
0.09182,0.55,0.48182,0.85185,0.9821,0.51728,4.33813,2.64828,-1.6195,4.97572,欠压 160V
0.09091,0.52818,0.47636,0.85617,0.91358,0.51173,4.33819,2.65865,-1.61021,4.94341,欠压 160V
0.09364,0.55909,0.48,0.8537,1.00556,0.51049,4.34009,2.65032,-1.62667,4.99348,欠压 160V
0.08636,0.58,0.47182,0.85617,1.05062,0.51049,4.34942,2.66652,-1.62297,4.96325,欠压 160V
0.08818,0.62818,0.47182,0.85062,1.07099,0.50802,4.33618,2.66668,-1.59889,4.91473,欠压 160V
