PCA1,PCA2,Category
-2.039347821,-0.437802217,欠压160V
-2.334161801,-0.509559867,欠压160V
-2.325321617,-0.534377668,欠压160V
-2.366373339,-0.560422822,欠压160V
-2.373682764,-0.575315576,欠压160V
-2.340350596,-0.587975413,欠压160V
-2.29924335,-0.515984747,欠压160V
-2.320170829,-0.406993569,欠压160V
-2.348753648,-0.594755262,欠压160V
-2.327841704,-0.578071797,欠压160V
-2.341202934,-0.596951723,欠压160V
-2.33351105,-0.589938021,欠压160V
-2.343856472,-0.592127983,欠压160V
-2.315505844,-0.564943995,欠压160V
-2.324879004,-0.553518558,欠压160V
-2.327020873,-0.673045979,欠压160V
-2.338084128,-0.573099616,欠压160V
-2.313059121,-0.560344965,欠压160V
-2.362371089,-0.566720891,欠压160V
-2.348245963,-0.588191655,欠压160V
-2.314602749,-0.629210987,欠压160V
-2.340750997,-0.675624991,欠压160V
-2.325614527,-0.650594256,欠压160V
-2.344822054,-0.627235513,欠压160V
-2.345604641,-0.661533239,欠压160V
-2.340302209,-0.609707081,欠压160V
-2.316574344,-0.63970055,欠压160V
-2.322588814,-0.694224425,欠压160V
-2.31805775,-0.560025704,欠压160V
-2.336149469,-0.661989433,欠压160V
-1.038608808,-0.226722779,欠压180V
-1.181274532,-0.340190781,欠压180V
-1.16637134,-0.289350895,欠压180V
-1.025822615,2.502487847,欠压180V
-1.172747013,-0.301772233,欠压180V
-1.18768828,-0.308370901,欠压180V
-1.175454691,-0.29419157,欠压180V
-1.150018065,-0.25026151,欠压180V
-1.18780738,-0.315473675,欠压180V
-1.192134896,-0.311484209,欠压180V
-1.174753707,-0.312574003,欠压180V
-1.187168775,-0.334625815,欠压180V
-1.186656802,-0.317832029,欠压180V
-1.182352717,-0.337873185,欠压180V
-1.187645666,-0.332477275,欠压180V
-1.171068442,-0.326173318,欠压180V
-1.17697639,-0.313509032,欠压180V
-1.193252806,-0.289982255,欠压180V
-1.180267795,-0.330523239,欠压180V
-1.186210867,-0.349997619,欠压180V
-1.169142647,-0.34088595,欠压180V
-1.184219257,-0.369677415,欠压180V
-1.195369043,-0.336897934,欠压180V
-1.189014302,-0.322604557,欠压180V
-1.188829007,-0.33120823,欠压180V
-1.190002422,-0.324508843,欠压180V
-1.194753818,-0.331540897,欠压180V
-1.18282119,-0.314071724,欠压180V
-1.180850717,-0.322552899,欠压180V
-1.186698442,-0.321964809,欠压180V
-1.201315492,-0.305487739,欠压180V
0.392424645,-0.039990635,欠压200V
0.147105176,-0.233930687,欠压200V
0.13835937,-0.235841444,欠压200V
0.133447013,-0.217510188,欠压200V
0.1267053,-0.217267725,欠压200V
0.137415729,-0.25786907,欠压200V
0.12151629,-0.223563598,欠压200V
0.120582378,-0.217027995,欠压200V
0.113935766,-0.219925436,欠压200V
0.109930354,-0.222655487,欠压200V
0.104046034,-0.215124656,欠压200V
0.099967032,-0.207265459,欠压200V
0.10186539,-0.231481209,欠压200V
0.093532986,-0.223343363,欠压200V
0.095044993,-0.232071409,欠压200V
0.090597592,-0.22855782,欠压200V
0.089438825,-0.232712898,欠压200V
0.087941888,-0.226551595,欠压200V
0.08860515,-0.241516005,欠压200V
0.083840425,-0.242640516,欠压200V
0.079361793,-0.227510315,欠压200V
0.073109551,-0.233777617,欠压200V
0.075174728,-0.205695178,欠压200V
0.061661496,-0.213570929,欠压200V
0.065681095,-0.222355732,欠压200V
0.055572767,-0.22387613,欠压200V
0.03731419,-0.183252258,欠压200V
0.054200348,-0.216673942,欠压200V
0.0504928,-0.216286555,欠压200V
0.057102808,-0.229976881,欠压200V
1.5582189,-0.474999369,正常220V
1.540747779,-0.470457988,正常220V
1.527508267,-0.458552263,正常220V
1.523562166,-0.447418325,正常220V
1.510921414,-0.457653387,正常220V
1.499260619,-0.435965462,正常220V
1.488378643,-0.435443724,正常220V
